city,year,weekofyear,total_cases
sj,2010,31,32
sj,2010,32,99
sj,2010,33,42
sj,2010,34,39
sj,2010,35,64
sj,2010,36,77
sj,2010,37,27
sj,2010,38,33
sj,2010,39,46
sj,2010,40,68
sj,2010,41,71
sj,2010,42,31
sj,2010,43,35
sj,2010,44,74
sj,2010,45,76
sj,2010,46,48
sj,2010,47,27
sj,2010,48,46
sj,2010,49,21
sj,2010,50,35
sj,2010,51,66
sj,2011,52,40
sj,2011,1,25
sj,2011,2,43
sj,2011,3,26
sj,2011,4,22
sj,2011,5,16
sj,2011,6,17
sj,2011,7,12
sj,2011,8,14
sj,2011,9,10
sj,2011,10,4
sj,2011,11,11
sj,2011,12,7
sj,2011,13,9
sj,2011,14,11
sj,2011,15,7
sj,2011,16,6
sj,2011,17,9
sj,2011,18,5
sj,2011,19,4
sj,2011,20,24
sj,2011,21,16
sj,2011,22,10
sj,2011,23,10
sj,2011,24,30
sj,2011,25,11
sj,2011,26,22
sj,2011,27,17
sj,2011,28,19
sj,2011,29,17
sj,2011,30,24
sj,2011,31,41
sj,2011,32,33
sj,2011,33,31
sj,2011,34,37
sj,2011,35,19
sj,2011,36,33
sj,2011,37,38
sj,2011,38,27
sj,2011,39,36
sj,2011,40,44
sj,2011,41,57
sj,2011,42,49
sj,2011,43,50
sj,2011,44,52
sj,2011,45,28
sj,2011,46,49
sj,2011,47,52
sj,2011,48,59
sj,2011,49,21
sj,2011,50,36
sj,2011,51,37
sj,2012,52,32
sj,2012,1,37
sj,2012,2,24
sj,2012,3,45
sj,2012,4,27
sj,2012,5,16
sj,2012,6,10
sj,2012,7,22
sj,2012,8,11
sj,2012,9,15
sj,2012,10,9
sj,2012,11,9
sj,2012,12,14
sj,2012,13,12
sj,2012,14,10
sj,2012,15,11
sj,2012,16,12
sj,2012,17,12
sj,2012,18,12
sj,2012,19,5
sj,2012,20,8
sj,2012,21,4
sj,2012,22,7
sj,2012,23,10
sj,2012,24,13
sj,2012,25,15
sj,2012,26,38
sj,2012,27,31
sj,2012,28,27
sj,2012,29,33
sj,2012,30,18
sj,2012,31,34
sj,2012,32,36
sj,2012,33,43
sj,2012,34,48
sj,2012,35,38
sj,2012,36,25
sj,2012,37,46
sj,2012,38,51
sj,2012,39,43
sj,2012,40,60
sj,2012,41,71
sj,2012,42,67
sj,2012,43,69
sj,2012,44,109
sj,2012,45,105
sj,2012,46,123
sj,2012,47,75
sj,2012,48,70
sj,2012,49,60
sj,2012,50,74
sj,2012,51,55
sj,2013,1,56
sj,2013,2,51
sj,2013,3,51
sj,2013,4,32
sj,2013,5,55
sj,2013,6,12
sj,2013,7,12
sj,2013,8,22
sj,2013,9,23
sj,2013,10,17
sj,2013,11,23
sj,2013,12,19
sj,2013,13,19
sj,2013,14,20
sj,2013,15,13
sj,2013,16,8
sj,2013,17,10
iq,2010,26,3
iq,2010,27,2
iq,2010,28,9
iq,2010,29,3
iq,2010,30,1
iq,2010,31,1
iq,2010,32,1
iq,2010,33,1
iq,2010,34,1
iq,2010,35,3
iq,2010,36,5
iq,2010,37,3
iq,2010,38,1
iq,2010,39,2
iq,2010,40,0
iq,2010,41,3
iq,2010,42,1
iq,2010,43,11
iq,2010,44,10
iq,2010,45,2
iq,2010,46,2
iq,2010,47,10
iq,2010,48,17
iq,2010,49,10
iq,2010,50,10
iq,2010,51,5
iq,2011,52,3
iq,2011,1,5
iq,2011,2,5
iq,2011,3,8
iq,2011,4,5
iq,2011,5,6
iq,2011,6,11
iq,2011,7,2
iq,2011,8,14
iq,2011,9,7
iq,2011,10,6
iq,2011,11,5
iq,2011,12,7
iq,2011,13,8
iq,2011,14,6
iq,2011,15,5
iq,2011,16,6
iq,2011,17,8
iq,2011,18,8
iq,2011,19,2
iq,2011,20,4
iq,2011,21,4
iq,2011,22,5
iq,2011,23,2
iq,2011,24,0
iq,2011,25,1
iq,2011,26,4
iq,2011,27,4
iq,2011,28,1
iq,2011,29,1
iq,2011,30,2
iq,2011,31,1
iq,2011,32,1
iq,2011,33,2
iq,2011,34,2
iq,2011,35,2
iq,2011,36,2
iq,2011,37,4
iq,2011,38,4
iq,2011,39,6
iq,2011,40,4
iq,2011,41,8
iq,2011,42,19
iq,2011,43,4
iq,2011,44,7
iq,2011,45,8
iq,2011,46,5
iq,2011,47,6
iq,2011,48,14
iq,2011,49,18
iq,2011,50,20
iq,2011,51,10
iq,2012,52,9
iq,2012,1,8
iq,2012,2,7
iq,2012,3,5
iq,2012,4,5
iq,2012,5,11
iq,2012,6,4
iq,2012,7,5
iq,2012,8,6
iq,2012,9,4
iq,2012,10,2
iq,2012,11,3
iq,2012,12,2
iq,2012,13,6
iq,2012,14,3
iq,2012,15,7
iq,2012,16,7
iq,2012,17,3
iq,2012,18,4
iq,2012,19,3
iq,2012,20,7
iq,2012,21,2
iq,2012,22,3
iq,2012,23,4
iq,2012,24,2
iq,2012,25,2
iq,2012,26,0
iq,2012,27,2
iq,2012,28,2
iq,2012,29,1
iq,2012,30,2
iq,2012,31,2
iq,2012,32,2
iq,2012,33,2
iq,2012,34,0
iq,2012,35,5
iq,2012,36,3
iq,2012,37,3
iq,2012,38,2
iq,2012,39,2
iq,2012,40,5
iq,2012,41,8
iq,2012,42,6
iq,2012,43,12
iq,2012,44,8
iq,2012,45,10
iq,2012,46,17
iq,2012,47,25
iq,2012,48,27
iq,2012,49,18
iq,2012,50,19
iq,2012,51,29
iq,2013,1,15
iq,2013,2,3
iq,2013,3,6
iq,2013,4,10
iq,2013,5,6
iq,2013,6,10
iq,2013,7,4
iq,2013,8,8
iq,2013,9,8
iq,2013,10,8
iq,2013,11,8
iq,2013,12,13
iq,2013,13,6
iq,2013,14,3
iq,2013,15,4
iq,2013,16,6
iq,2013,17,8
iq,2013,18,1
iq,2013,19,6
iq,2013,20,5
iq,2013,21,2
iq,2013,22,5
iq,2013,23,5
iq,2013,24,3
iq,2013,25,0
iq,2013,26,1
