city,year,weekofyear,total_cases
iq,2012,10,20
iq,2012,11,19
iq,2012,12,11
iq,2012,13,14
iq,2012,14,15
iq,2012,15,8
iq,2012,16,15
iq,2012,17,15
iq,2012,18,7
iq,2012,19,15
iq,2012,20,15
iq,2012,21,12
iq,2012,22,15
iq,2012,23,12
iq,2012,24,15
iq,2012,25,6
iq,2012,26,6
iq,2012,27,8
iq,2012,28,7
iq,2012,29,15
iq,2012,30,6
iq,2012,31,6
iq,2012,32,6
iq,2012,33,6
iq,2012,34,6
iq,2012,35,6
iq,2012,36,6
iq,2012,37,6
iq,2012,38,6
iq,2012,39,6
iq,2012,40,6
iq,2012,41,6
iq,2012,42,7
iq,2012,43,15
iq,2012,44,6
iq,2012,45,6
iq,2012,46,15
iq,2012,47,15
iq,2012,48,12
iq,2012,49,7
iq,2012,50,9
iq,2012,51,15
iq,2013,1,19
iq,2013,2,24
iq,2013,3,24
iq,2013,4,20
iq,2013,5,24
iq,2013,6,22
iq,2013,7,22
iq,2013,8,22
iq,2013,9,21
iq,2013,10,20
iq,2013,11,11
iq,2013,12,19
iq,2013,13,8
iq,2013,14,8
iq,2013,15,15
iq,2013,16,12
iq,2013,17,15
iq,2013,18,6
iq,2013,19,12
iq,2013,20,15
iq,2013,21,15
iq,2013,22,15
iq,2013,23,8
iq,2013,24,12
iq,2013,25,15
iq,2013,26,15
